,selection1_product_mane_name,selection1_product_mane_url,selection1_product_name_price,selection1_product_mane_confirmation_time,selection1_product_mane_review_score,selection1_product_mane_number_of_review,selection1_product_mane_cancelation_policy,package_name,package_price
戶外活動,【專屬接駁】大黑熊音樂祭2019三日聯票＋接駁票券（附贈活動專屬小禮）,https://www.kkday.com/zh-tw/product/27411,12.1,2個工作日內確認,,,僅限指定日期使用,【純接駁】台北東三門往台中活動會場去程直達接駁車,12.1
戶外活動,,,,,,,,【純接駁】台中活動會場往台北東三門回程直達接駁車,12.1
戶外活動,,,,,,,,【去程Chill一波】三日連票＋單程直達接駁車（台北-台中）,91.8
戶外活動,,,,,,,,【一路鬆回家】三日連票＋單程直達接駁車（台中-台北）,91.8
戶外活動,,,,,,,,【大黑熊音樂祭一次享有】三日連票＋去程車票＋營位,155.54
戶外活動,【澎湖最美麗海灣】吉貝嶼船票＋機車＋特色活動（水上活動/海釣/抱墩）,https://www.kkday.com/zh-tw/product/6795,11.16,立即確認並發送憑證,4.7,-128,8天前可免費取消,方案A：吉貝來回船票+吉貝島上機車(2人1部),11.16
戶外活動,,,,,,,,方案B1：吉貝來回船票+水上活動無限暢玩+吉貝島上機車(2人1部),20.72
戶外活動,,,,,,,,方案B2：吉貝來回船票+趣味海釣+吉貝島上機車(2人1部),20.72
戶外活動,,,,,,,,方案B3：吉貝來回船票+潮間帶抱墩+吉貝島上機車(2人1部),20.72
戶外活動,,,,,,,,方案C：吉貝來回船票+目斗嶼船票+吉貝島上機車(2人1部),22.31
戶外活動,【探訪台灣十大美景之首】花蓮清水斷崖獨木舟探索體驗,https://www.kkday.com/zh-tw/product/19507,52.61,1個工作日內確認,4.3,-37,7天前可免費取消,花蓮清水斷崖獨木舟體驗,52.61
戶外活動,【南澳天然漂漂河】宜蘭那山那谷・漂流式探險,https://www.kkday.com/zh-tw/product/8603,31.88,1個工作日內確認,4.9,-35,8天前可免費取消,【南澳天然漂漂河】宜蘭那山那谷・漂流式探險,31.88
戶外活動,【鑽巷弄遊台南】摩托車租借服務,https://www.kkday.com/zh-tw/product/21814,14.35,3個工作日內確認,5,-5,,【鑽巷弄遊台南】摩托車租借服務,14.35
戶外活動,【桃園戰地英雄】仿真槍射擊＋軍規車體驗＋基地參觀,https://www.kkday.com/zh-tw/product/22041,3.19,1個工作日內確認,4.9,-8,僅限指定日期使用,基地參觀,3.19
戶外活動,,,,,,,,定點射擊＋基地參觀,12.75
戶外活動,,,,,,,,移動射擊＋基地參觀,19.13
戶外活動,,,,,,,,定點射擊＋工務型ORV軍規車＋基地參觀,25.5
戶外活動,,,,,,,,移動射擊＋競賽型ORV軍規車＋基地參觀,38.25
戶外活動,,,,,,,,移動射擊＋MRZR-4軍規車＋基地參觀,111.56
戶外活動,【外國人限定電子票】南投清境農場青青草原＋小瑞士花園超值入園門票,https://www.kkday.com/zh-tw/product/26558,11.16,立即確認並發送憑證,4,-1,不可取消,【外國人限定電子票】青青草原＋小瑞士花園入園門票,11.16
戶外活動,【澎湖夏季限定烤肉趴】澎湖福朋喜來登星光港灣BBQ吃到飽,https://www.kkday.com/zh-tw/product/21439,25.23,立即確認並發送憑證,4.4,-92,2天前可免費取消,【澎湖夏季限定烤肉趴】澎湖福朋喜來登星光港灣BBQ吃到飽,28.05
戶外活動,,,,,,,,BBQ吃到飽五人同行專案（限時優惠）,25.23
戶外活動,【台東嘉明湖健行五日遊】去那兒旅行．尋找天使的眼淚,https://www.kkday.com/zh-tw/product/27744,484.51,2個工作日內確認,,,31天前可免費取消,單人費用,484.51
戶外活動,【東北角龍洞灣】離台北最近的體驗潛水－52龍洞潛水中心,https://www.kkday.com/zh-tw/product/21652,63.75,2個工作日內確認,4.9,-10,8天前可免費取消,體驗潛水,63.75
戶外活動,【宜蘭夏季限定活動】南澳金岳瀑布溯溪體驗,https://www.kkday.com/zh-tw/product/21711,44.63,1個工作日內確認,3.6,-8,8天前可免費取消,全日溯溪體驗方案,63.75
戶外活動,,,,,,,,半日溯溪體驗方案,44.63
戶外活動,【台灣絕美山海景致】深澳鐵道自行車Rail Bike電子門票（非台灣籍旅客限定）,https://www.kkday.com/zh-tw/product/27378,4.78,2個工作日內確認,5,-1,有條件取消,【平日單程票】深澳鐵道自行車（八斗子站出發）,4.78
戶外活動,,,,,,,,【平日單程票】深澳鐵道自行車（深澳站出發）,4.78
戶外活動,,,,,,,,【假日單程票】深澳鐵道自行車（八斗子站出發）,4.78
戶外活動,,,,,,,,【假日單程票】深澳鐵道自行車（深澳站出發）,4.78
戶外活動,【綠島海底探險】一對一體驗潛水,https://www.kkday.com/zh-tw/product/24436,79.69,1個工作日內確認,,,,一對一體驗潛水,79.69
戶外活動,【宜蘭東澳粉鳥林】露境東岳- ATV沙灘車體驗,https://www.kkday.com/zh-tw/product/24915,25.5,1個工作日內確認,,,,【平日方案】沙灘車120分鐘體驗、導覽解說,63.75
戶外活動,,,,,,,,【平日＋假日方案】沙灘車30分鐘體驗,25.5
戶外活動,【絕美秘境探險】台東桑樹溪溯溪半日/一日體驗,https://www.kkday.com/zh-tw/product/21680,57.38,1個工作日內確認,5,-2,8天前可免費取消,半日溯溪體驗（08:00 - 12:30）,57.38
戶外活動,,,,,,,,全日溯溪體驗（08:00 - 16:00）,79.69
戶外活動,【澎湖藍洞秘境】探訪美麗藍洞及環遊七美島,https://www.kkday.com/zh-tw/product/2375,38.25,立即確認並發送憑證,3.8,-95,,藍洞秘境七美半日（機車環島）,38.25
戶外活動,,,,,,,,藍洞秘境七美半日（搭乘觀光遊覽車）,41.44
戶外活動,【北海岸深澳象鼻岩水上活動】SUP立槳體驗,https://www.kkday.com/zh-tw/product/24636,52.59,1個工作日內確認,4.7,-3,,"【一人一板】大人每位1,950元",62.16
戶外活動,,,,,,,,"【兩人一板】大人每位1,650元",52.59
戶外活動,【台東二日遊】伯朗大道單車之旅、太麻里金針花、武陵綠色隧道（兩人成行）,https://www.kkday.com/zh-tw/product/25799,194.44,2個工作日內確認,,,31天前可免費取消,雙人房週日至週五出發,213.57
戶外活動,,,,,,,,三人房週日至週五出發,200.82
戶外活動,,,,,,,,四人房週日至週五出發,194.44
戶外活動,,,,,,,,雙人房週六出發,226.32
戶外活動,,,,,,,,三人房週六出發,210.38
戶外活動,,,,,,,,四人房週六出發,204
戶外活動,"【日月潭唯一的人氣岩盤浴】馥麗大飯店雙人岩盤浴＋下午茶
",https://www.kkday.com/zh-tw/product/20419,63.68,立即確認,4.7,-3,可出示電子憑證,雙人三階段岩盤浴＋英式下午茶,63.68
戶外活動,【北台灣網美一日遊】銀河洞、千島湖、茶山深度旅行,https://www.kkday.com/zh-tw/product/27545,54.16,2個工作日內確認,,,有條件取消,週一至週五出發,54.16
戶外活動,,,,,,,,週六、日出發,57.34
戶外活動,,,216.75,1個工作日內確認,,,14天前可免費取消,溫馨家庭房2大1小（週日-週五入住）,216.75
戶外活動,,,,,,,,溫馨家庭房2大1小（週六/連續假日入住）,248.63
戶外活動,,,,,,,,溫馨家庭房2大2小（週日-週五入住）,239.07
戶外活動,,,,,,,,溫馨家庭房2大2小（週六/連續假日入住）,270.94
戶外活動,,,,,,,,溫馨家庭房2大1小（7-8月週六入住）,258.19
戶外活動,,,,,,,,溫馨家庭房2大2小（7-8月週六入住）,280.51
戶外活動,【58℃極上原湯溫泉】宜蘭礁溪冠翔世紀溫泉會館 - 2人景觀湯屋/2人戶外風呂SPA 晚餐(平/假日需加價)（需電話預約）,https://www.kkday.com/zh-tw/product/23584,36.98,立即確認並發送憑證,,,不可取消,套餐Ａ：2人景觀湯屋(1套2張2人用),36.98
戶外活動,,,,,,,,"套餐Ｂ：2人戶外風呂SPA+晚餐(1套3張2人用,現場平日+200假日+300即可使用)",55.46
戶外活動,【比現場還便宜】墾丁南灣刺激水上活動（免費接送）,https://www.kkday.com/zh-tw/product/3185,18.75,1個工作日內確認,3.8,-24,不可取消,南灣水上活動3小時無限暢玩,48.75
戶外活動,,,,,,,,南灣外海浮潛,18.75
戶外活動,,,,,,,,南灣水上活動任選兩項,22.5
戶外活動,,,,,,,,南灣水上活動任選三項,26.25
戶外活動,,,,,,,,南灣水上活動任選四項,30
戶外活動,,,,,,,,南灣水上活動任選五項,33.75
戶外活動,,,,,,,,南灣水上活動任選六項,37.5
戶外活動,,,,,,,,南灣水上活動任選七項,41.25
戶外活動,【澎湖無人島頂級浮潛】澎湖忘憂島浮潛一日遊（馬公出發）,https://www.kkday.com/zh-tw/product/2460,92.09,3個工作日內確認,4.9,-118,9天前可免費取消,忘憂島一日遊,92.09
戶外活動,【刺激叢林探險體驗】墾丁南灣自駕叢林沙灘車,https://www.kkday.com/zh-tw/product/1678,17.54,立即確認,4.6,-47,可出示電子憑證,叢林沙灘車暢玩30分鐘,17.54
戶外活動,【陽明山擎天岡草原】台北秋風賞芒草包車一日遊,https://www.kkday.com/zh-tw/product/3504,92.44,12小時內確認,4.5,-33,,中文司機,92.44
戶外活動,,,,,,,,外語司機（英日語）,111.57
戶外活動,【台東三日遊】多良車站、太麻里金針花、知本溫泉、伯朗大道（兩人成行）墾丁南灣刺激水上活動（免費接送）,https://www.kkday.com/zh-tw/product/24006,293.26,2個工作日內確認,,,31天前可免費取消,雙人房週日至週四出發,312.38
戶外活動,,,,,,,,三人房週日至週四出發,302.82
戶外活動,,,,,,,,四人房週日至週四出發,293.26
戶外活動,,,,,,,,雙人房週五、週六出發,328.32
戶外活動,,,,,,,,三人房週五、週六出發,309.19
戶外活動,,,,,,,,四人房週五、週六出發,299.63
戶外活動,"【澎湖水上運動】澎湖海上拖曳傘飛行體驗
",https://www.kkday.com/zh-tw/product/19598,36.22,1個工作日內確認,4.7,-11,8天前可免費取消,單人體驗,36.22
戶外活動,【花蓮露營體驗】星空野營＋海邊BBQ＋清水斷崖SUP曙光團,https://www.kkday.com/zh-tw/product/23795,94.03,1個工作日內確認,5,-2,8天前可免費取消,一人一板＋露營＋BBQ體驗,103.59
戶外活動,,,,,,,,兩人一板＋露營＋BBQ體驗,94.03
戶外活動,【親子初階抱石攀岩】室內攀岩體驗,https://www.kkday.com/zh-tw/product/11661,3.19,立即確認並發送憑證,4.8,-43,8天前可免費取消,30分鐘初階抱石,3.19
戶外活動,,,,,,,,30分鐘室內攀岩（一人體驗一人拉繩）,9.56
戶外活動,,,,,,,,30分鐘室內攀岩（教練幫您拉繩）,12.75
戶外活動,,,,,,,,60分鐘攀岩雙人方案(互相交換拉繩),15.94
戶外活動,【與熱帶魚的親密接觸】墾丁後壁湖浮潛驚喜體驗,https://www.kkday.com/zh-tw/product/2150,10.87,1個工作日內確認,4.1,-35,8天前可免費取消,【與熱帶魚的親密接觸】墾丁後壁湖浮潛驚喜體驗,10.87
戶外活動,【曾文水庫優惠船票】曾文水庫觀光遊艇船票,https://www.kkday.com/zh-tw/product/29261,9.24,立即確認並發送憑證,,,,平日－２小時航程（山豬島＋飛鷹峽谷＋釣魚平台）,15.62
戶外活動,,,,,,,,假日－２小時航程（山豬島＋飛鷹峽谷＋釣魚平台）,18.81
戶外活動,,,,,,,,假日－1小時航程（山豬島＋飛鷹峽谷）,9.24
戶外活動,【台灣最高飛行傘】花蓮飛行傘體驗,https://www.kkday.com/zh-tw/product/5359,81.46,2個工作日內確認,4.8,-123,,飛行傘體驗,81.46
戶外活動,【新竹網美一日遊】秘境咖啡廳、豆腐岩、新豐紅樹林生態保護區、鳳坑漁港,https://www.kkday.com/zh-tw/product/25797,35.03,2個工作日內確認,,,有條件取消,平日出發,35.03
戶外活動,,,,,,,,假日出發,41.41
戶外活動,"【小琉球、義大三日遊】小琉球浮潛／半潛艇、小島BBQ、義大世界（兩人成行）
",https://www.kkday.com/zh-tw/product/24310,223.13,2個工作日內確認,,,31天前可免費取消,雙人房週日至週四出發,255
戶外活動,,,,,,,,四人房週日至週四出發,223.13
戶外活動,,,,,,,,雙人房週五到週六出發,277.32
戶外活動,,,,,,,,四人房週五至週六出發,235.88
戶外活動,,,,,,,,雙人房國定連續假期出發,293.26
戶外活動,,,,,,,,四人房國定連續假期出發,248.63
戶外活動,,,,,,,,雙人房週日至週四出發（電動自行車專用）,261.38
